ICD-10-CM,description,dx_broad,Diagnosis,Sheet 
C8444,"Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-762
C8445,"Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-763
C8446,"Peripheral T-cell lymphoma, not elsewhere classified, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-764
C8447,"Peripheral T-cell lymphoma, not elsewhere classified, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-765
C8448,"Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-766
C8580,"Other specified types of non-Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-767
C8589,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-768
C8581,"Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-769
C8582,"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-770
C8493,"Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-771
C8583,"Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-772
C8584,"Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-773
C8585,"Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-774
C8586,"Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-775
C8587,"Other specified types of non-Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-776
C8588,"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-777
C964,Sarcoma of dendritic cells (accessory cells),cancer,Non CNS Cancer,CCS 2015 -> ICD-778
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-779
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-780
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-781
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-782
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-783
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-784
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-785
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-786
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-787
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-788
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-789
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-790
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-791
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-792
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-793
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-794
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-795
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",cancer,Non CNS Cancer,CCS 2015 -> ICD-796
Z8579,"Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues",cancer,Non CNS Cancer,CCS 2015 -> ICD-797
Z85831,Personal history of malignant neoplasm of soft tissue,cancer,Non CNS Cancer,CCS 2015 -> ICD-798
Z8579,"Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues",cancer,Non CNS Cancer,CCS 2015 -> ICD-799
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-800
C9141,"Hairy cell leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-801
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-802
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-803
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-804
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-805
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-806
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-807
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-808
C9140,Hairy cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-809
C9010,Plasma cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-810
C9011,Plasma cell leukemia in remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-811
C9012,Plasma cell leukemia in relapse,cancer,Non CNS Cancer,CCS 2015 -> ICD-812
C9100,Acute lymphoblastic leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-813
C9101,"Acute lymphoblastic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-814
C9102,"Acute lymphoblastic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-815
C9110,Chronic lymphocytic leukemia of B-cell type not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-816
C9111,Chronic lymphocytic leukemia of B-cell type in remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-817
C9112,Chronic lymphocytic leukemia of B-cell type in relapse,cancer,Non CNS Cancer,CCS 2015 -> ICD-818
C91Z0,Other lymphoid leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-819
C91Z1,"Other lymphoid leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-820
C91Z2,"Other lymphoid leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-821
C91Z0,Other lymphoid leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-822
C91Z1,"Other lymphoid leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-823
C91Z2,"Other lymphoid leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-824
C9190,"Lymphoid leukemia, unspecified not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-825
C9191,"Lymphoid leukemia, unspecified, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-826
C9192,"Lymphoid leukemia, unspecified, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-827
C9200,"Acute myeloblastic leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-828
C9240,"Acute promyelocytic leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-829
C9250,"Acute myelomonocytic leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-830
C9201,"Acute myeloblastic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-831
C9241,"Acute promyelocytic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-832
C9251,"Acute myelomonocytic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-833
C9202,"Acute myeloblastic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-834
C9242,"Acute promyelocytic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-835
C9252,"Acute myelomonocytic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-836
C9210,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-837
C9211,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-838
C9212,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-839
C9220,"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-840
C9221,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-841
C9222,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-842
C9230,"Myeloid sarcoma, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-843
C9231,"Myeloid sarcoma, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-844
C9232,"Myeloid sarcoma, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-845
C92Z0,Other myeloid leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-846
C92Z1,"Other myeloid leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-847
C92Z2,"Other myeloid leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-848
C9290,"Myeloid leukemia, unspecified, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-849
C9291,"Myeloid leukemia, unspecified in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-850
C9292,"Myeloid leukemia, unspecified in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-851
C9300,"Acute monoblastic/monocytic leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-852
C9301,"Acute monoblastic/monocytic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-853
C9302,"Acute monoblastic/monocytic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-854
C9310,Chronic myelomonocytic leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-855
C9311,"Chronic myelomonocytic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-856
C9312,"Chronic myelomonocytic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-857
C9390,"Monocytic leukemia, unspecified, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-858
C9391,"Monocytic leukemia, unspecified in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-859
C9392,"Monocytic leukemia, unspecified in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-860
C93Z0,"Other monocytic leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-861
C93Z1,"Other monocytic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-862
C93Z2,"Other monocytic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-863
C9390,"Monocytic leukemia, unspecified, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-864
C9391,"Monocytic leukemia, unspecified in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-865
C9392,"Monocytic leukemia, unspecified in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-866
C9400,"Acute erythroid leukemia, not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-867
C9401,"Acute erythroid leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-868
C9402,"Acute erythroid leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-869
C9420,Acute megakaryoblastic leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-873
C9421,"Acute megakaryoblastic leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-874
C9422,"Acute megakaryoblastic leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-875
C9430,Mast cell leukemia not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-876
C9480,Other specified leukemias not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-877
C9431,"Mast cell leukemia, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-878
C9481,"Other specified leukemias, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-879
C9432,"Mast cell leukemia, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-880
C9482,"Other specified leukemias, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-881
C9500,Acute leukemia of unspecified cell type not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-882
C9501,"Acute leukemia of unspecified cell type, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-883
C9502,"Acute leukemia of unspecified cell type, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-884
C9510,Chronic leukemia of unspecified cell type not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-885
C9511,"Chronic leukemia of unspecified cell type, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-886
C9512,"Chronic leukemia of unspecified cell type, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-887
C9590,"Leukemia, unspecified not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-888
C9591,"Leukemia, unspecified, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-889
C9592,"Leukemia, unspecified, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-890
C9590,"Leukemia, unspecified not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-891
C9591,"Leukemia, unspecified, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-892
C9592,"Leukemia, unspecified, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-893
C9590,"Leukemia, unspecified not having achieved remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-894
C9591,"Leukemia, unspecified, in remission",cancer,Non CNS Cancer,CCS 2015 -> ICD-895
C9592,"Leukemia, unspecified, in relapse",cancer,Non CNS Cancer,CCS 2015 -> ICD-896
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-897
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-898
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-899
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-900
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-901
C9000,Multiple myeloma not having achieved remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-902
C9001,Multiple myeloma in remission,cancer,Non CNS Cancer,CCS 2015 -> ICD-903
C9002,Multiple myeloma in relapse,cancer,Non CNS Cancer,CCS 2015 -> ICD-904
C888,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-905
C9020,Extramedullary plasmacytoma not having achieved remission,other,Non CNS Cancer,CCS 2015 -> ICD-906
C9030,Solitary plasmacytoma not having achieved remission,other,Non CNS Cancer,CCS 2015 -> ICD-907
C9021,Extramedullary plasmacytoma in remission,other,Non CNS Cancer,CCS 2015 -> ICD-908
C9031,Solitary plasmacytoma in remission,other,Non CNS Cancer,CCS 2015 -> ICD-909
C888,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-910
C9022,Extramedullary plasmacytoma in relapse,other,Non CNS Cancer,CCS 2015 -> ICD-911
C9032,Solitary plasmacytoma in relapse,other,Non CNS Cancer,CCS 2015 -> ICD-912
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-913
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-914
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-915
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-916
Z856,Personal history of leukemia,cancer,Non CNS Cancer,CCS 2015 -> ICD-917
C37,Malignant neoplasm of thymus,cancer,Non CNS Cancer,CCS 2015 -> ICD-918
C380,Malignant neoplasm of heart,cancer,Non CNS Cancer,CCS 2015 -> ICD-919
C381,Malignant neoplasm of anterior mediastinum,cancer,Non CNS Cancer,CCS 2015 -> ICD-920
C382,Malignant neoplasm of posterior mediastinum,cancer,Non CNS Cancer,CCS 2015 -> ICD-921
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",cancer,Non CNS Cancer,CCS 2015 -> ICD-922
C383,"Malignant neoplasm of mediastinum, part unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-923
C460,Kaposi's sarcoma of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-924
C461,Kaposi's sarcoma of soft tissue,cancer,Non CNS Cancer,CCS 2015 -> ICD-925
C462,Kaposi's sarcoma of palate,cancer,Non CNS Cancer,CCS 2015 -> ICD-926
C464,Kaposi's sarcoma of gastrointestinal sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-927
C4650,Kaposi's sarcoma of unspecified lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-928
C463,Kaposi's sarcoma of lymph nodes,cancer,Non CNS Cancer,CCS 2015 -> ICD-929
C467,Kaposi's sarcoma of other sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-930
C469,"Kaposi's sarcoma, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-931
C6940,Malignant neoplasm of unspecified ciliary body,cancer,Non CNS Cancer,CCS 2015 -> ICD-932
C6960,Malignant neoplasm of unspecified orbit,cancer,Non CNS Cancer,CCS 2015 -> ICD-933
C6950,Malignant neoplasm of unspecified lacrimal gland and duct,cancer,Non CNS Cancer,CCS 2015 -> ICD-934
C6900,Malignant neoplasm of unspecified conjunctiva,cancer,Non CNS Cancer,CCS 2015 -> ICD-935
C6910,Malignant neoplasm of unspecified cornea,cancer,Non CNS Cancer,CCS 2015 -> ICD-936
C6920,Malignant neoplasm of unspecified retina,cancer,Non CNS Cancer,CCS 2015 -> ICD-937
C6930,Malignant neoplasm of unspecified choroid,cancer,Non CNS Cancer,CCS 2015 -> ICD-938
C6950,Malignant neoplasm of unspecified lacrimal gland and duct,cancer,Non CNS Cancer,CCS 2015 -> ICD-939
C6980,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,cancer,Non CNS Cancer,CCS 2015 -> ICD-940
C6990,Malignant neoplasm of unspecified site of unspecified eye,cancer,Non CNS Cancer,CCS 2015 -> ICD-941
C7490,Malignant neoplasm of unspecified part of unspecified adrenal gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-942
C750,Malignant neoplasm of parathyroid gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-943
C751,Malignant neoplasm of pituitary gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-944
C752,Malignant neoplasm of craniopharyngeal duct,cancer,Non CNS Cancer,CCS 2015 -> ICD-945
C753,Malignant neoplasm of pineal gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-946
C754,Malignant neoplasm of carotid body,cancer,Non CNS Cancer,CCS 2015 -> ICD-947
C755,Malignant neoplasm of aortic body and other paraganglia,cancer,Non CNS Cancer,CCS 2015 -> ICD-948
C758,"Malignant neoplasm with pluriglandular involvement, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-949
C759,"Malignant neoplasm of endocrine gland, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-950
C760,"Malignant neoplasm of head, face and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-951
C761,Malignant neoplasm of thorax,cancer,Non CNS Cancer,CCS 2015 -> ICD-952
C762,Malignant neoplasm of abdomen,cancer,Non CNS Cancer,CCS 2015 -> ICD-953
C763,Malignant neoplasm of pelvis,cancer,Non CNS Cancer,CCS 2015 -> ICD-954
C7640,Malignant neoplasm of unspecified upper limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-955
C7650,Malignant neoplasm of unspecified lower limb,cancer,Non CNS Cancer,CCS 2015 -> ICD-956
C768,Malignant neoplasm of other specified ill-defined sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-957
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-958
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-959
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-960
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-961
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-962
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-963
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-964
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-965
C96A,Histiocytic sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-966
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-967
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-968
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-969
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-970
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-971
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-972
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-973
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-974
C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-975
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-976
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-977
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-978
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-979
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-980
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-981
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-982
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-983
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-984
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-985
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-986
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-987
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-988
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-989
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-990
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-991
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-992
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-993
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-994
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-995
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-996
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-997
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-998
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-999
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1000
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-1001
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-1002
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-1003
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1004
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-1005
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-1006
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-1007
C9620,"Malignant mast cell neoplasm, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1008
C9621,Aggressive systemic mastocytosis,other,Non CNS Cancer,CCS 2015 -> ICD-1009
C9622,Mast cell sarcoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-1010
C9629,Other malignant mast cell neoplasm,cancer,Non CNS Cancer,CCS 2015 -> ICD-1011
C7A091,Malignant carcinoid tumor of the thymus,cancer,Non CNS Cancer,CCS 2015 -> ICD-1012
C7A094,"Malignant carcinoid tumor of the foregut, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1013
C7A095,"Malignant carcinoid tumor of the midgut, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1014
C7A096,"Malignant carcinoid tumor of the hindgut, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1015
D0920,Carcinoma in situ of unspecified eye,cancer,Non CNS Cancer,CCS 2015 -> ICD-1016
D093,Carcinoma in situ of thyroid and other endocrine glands,cancer,Non CNS Cancer,CCS 2015 -> ICD-1017
D098,Carcinoma in situ of other specified sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-1018
D099,"Carcinoma in situ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-1019
R87628,Other abnormal cytological findings on specimens from vagina,cancer,Non CNS Cancer,CCS 2015 -> ICD-1020
R87620,Atypical squamous cells of undetermined significance on cytologic smear of vagina (ASC-US),cancer,Non CNS Cancer,CCS 2015 -> ICD-1021
R87621,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of vagina (ASC-H),cancer,Non CNS Cancer,CCS 2015 -> ICD-1022
R87622,Low grade squamous intraepithelial lesion on cytologic smear of vagina (LGSIL),cancer,Non CNS Cancer,CCS 2015 -> ICD-1023
